time x -x y z
0.182 -1.85562e-05 1.85562e-05 1.37054e-05 -8.6199e-06
0.183 -1.87823e-05 1.87823e-05 1.38885e-05 -8.73201e-06
0.184 -1.901e-05 1.901e-05 1.40731e-05 -8.84499e-06
0.185 -1.92392e-05 1.92392e-05 1.42592e-05 -8.95886e-06
0.186 -1.94701e-05 1.94701e-05 1.44469e-05 -9.07361e-06
0.187 -1.97025e-05 1.97025e-05 1.4636e-05 -9.18925e-06
0.188 -1.99365e-05 1.99365e-05 1.48267e-05 -9.30577e-06
0.189 -2.01721e-05 2.01721e-05 1.50188e-05 -9.4232e-06
0.19 -2.04093e-05 2.04093e-05 1.52125e-05 -9.54151e-06
0.191 -2.06482e-05 2.06482e-05 1.54078e-05 -9.66072e-06
0.192 -2.08886e-05 2.08886e-05 1.56046e-05 -9.78084e-06
0.193 -2.11306e-05 2.11306e-05 1.58029e-05 -9.90185e-06
0.194 -2.13742e-05 2.13742e-05 1.60027e-05 -1.00238e-05
0.195 -2.16195e-05 2.16195e-05 1.62041e-05 -1.01466e-05
0.196 -2.18664e-05 2.18664e-05 1.64071e-05 -1.02703e-05
0.197 -2.21148e-05 2.21148e-05 1.66116e-05 -1.0395e-05
0.198 -2.2365e-05 2.2365e-05 1.68177e-05 -1.05205e-05
0.199 -2.26167e-05 2.26167e-05 1.70254e-05 -1.0647e-05
0.2 -2.28701e-05 2.28701e-05 1.72346e-05 -1.07744e-05
0.201 -2.31251e-05 2.31251e-05 1.74454e-05 -1.09027e-05
0.202 -2.33817e-05 2.33817e-05 1.76578e-05 -1.1032e-05
0.203 -2.364e-05 2.364e-05 1.78718e-05 -1.11621e-05
0.204 -2.38999e-05 2.38999e-05 1.80873e-05 -1.12932e-05
0.205 -2.41614e-05 2.41614e-05 1.83045e-05 -1.14253e-05
0.206 -2.44246e-05 2.44246e-05 1.85233e-05 -1.15582e-05
0.207 -2.46895e-05 2.46895e-05 1.87436e-05 -1.16921e-05
0.208 -2.4956e-05 2.4956e-05 1.89656e-05 -1.1827e-05
0.209 -2.52242e-05 2.52242e-05 1.91892e-05 -1.19627e-05
0.21 -2.5494e-05 2.5494e-05 1.94144e-05 -1.20995e-05
0.211 -2.57655e-05 2.57655e-05 1.96412e-05 -1.22371e-05
0.212 -2.60386e-05 2.60386e-05 1.98696e-05 -1.23757e-05
0.213 -2.63135e-05 2.63135e-05 2.00997e-05 -1.25153e-05
0.214 -2.65899e-05 2.65899e-05 2.03314e-05 -1.26558e-05
0.215 -2.68681e-05 2.68681e-05 2.05648e-05 -1.27973e-05
0.216 -2.7148e-05 2.7148e-05 2.07998e-05 -1.29397e-05
0.217 -2.74295e-05 2.74295e-05 2.10364e-05 -1.30831e-05
0.218 -2.77127e-05 2.77127e-05 2.12747e-05 -1.32274e-05
0.219 -2.79976e-05 2.79976e-05 2.15146e-05 -1.33727e-05
0.22 -2.82842e-05 2.82842e-05 2.17562e-05 -1.3519e-05
0.221 -2.85724e-05 2.85724e-05 2.19995e-05 -1.36662e-05
0.222 -2.88624e-05 2.88624e-05 2.22445e-05 -1.38144e-05
0.223 -2.9154e-05 2.9154e-05 2.24911e-05 -1.39636e-05
0.224 -2.94474e-05 2.94474e-05 2.27393e-05 -1.41138e-05
0.225 -2.97425e-05 2.97425e-05 2.29893e-05 -1.42649e-05
0.226 -3.00392e-05 3.00392e-05 2.3241e-05 -1.4417e-05
0.227 -3.03377e-05 3.03377e-05 2.34943e-05 -1.45701e-05
0.228 -3.06379e-05 3.06379e-05 2.37493e-05 -1.47242e-05
0.229 -3.09398e-05 3.09398e-05 2.40061e-05 -1.48792e-05
0.23 -3.12434e-05 3.12434e-05 2.42645e-05 -1.50353e-05
0.231 -3.15488e-05 3.15488e-05 2.45246e-05 -1.51923e-05
0.232 -3.18559e-05 3.18559e-05 2.47865e-05 -1.53503e-05
0.233 -3.21646e-05 3.21646e-05 2.50501e-05 -1.55094e-05
0.234 -3.24752e-05 3.24752e-05 2.53153e-05 -1.56694e-05
0.235 -3.27874e-05 3.27874e-05 2.55823e-05 -1.58304e-05
0.236 -3.31014e-05 3.31014e-05 2.58511e-05 -1.59924e-05
0.237 -3.34171e-05 3.34171e-05 2.61215e-05 -1.61554e-05
0.238 -3.37346e-05 3.37346e-05 2.63937e-05 -1.63195e-05
0.239 -3.40538e-05 3.40538e-05 2.66676e-05 -1.64845e-05
0.24 -3.43747e-05 3.43747e-05 2.69433e-05 -1.66506e-05
0.241 -3.46974e-05 3.46974e-05 2.72207e-05 -1.68176e-05
0.242 -3.50218e-05 3.50218e-05 2.74999e-05 -1.69857e-05
0.243 -3.5348e-05 3.5348e-05 2.77808e-05 -1.71548e-05
0.244 -3.5676e-05 3.5676e-05 2.80635e-05 -1.73249e-05
0.245 -3.60057e-05 3.60057e-05 2.8348e-05 -1.7496e-05
0.246 -3.63372e-05 3.63372e-05 2.86342e-05 -1.76682e-05
0.247 -3.66704e-05 3.66704e-05 2.89221e-05 -1.78413e-05
0.248 -3.70054e-05 3.70054e-05 2.92119e-05 -1.80155e-05
0.249 -3.73421e-05 3.73421e-05 2.95034e-05 -1.81908e-05
0.25 -3.76807e-05 3.76807e-05 2.97967e-05 -1.8367e-05
0.251 -3.8021e-05 3.8021e-05 3.00918e-05 -1.85443e-05
0.252 -3.83631e-05 3.83631e-05 3.03887e-05 -1.87226e-05
0.253 -3.87069e-05 3.87069e-05 3.06874e-05 -1.8902e-05
0.254 -3.90526e-05 3.90526e-05 3.09879e-05 -1.90824e-05
0.255 -3.94e-05 3.94e-05 3.12902e-05 -1.92639e-05
0.256 -3.97492e-05 3.97492e-05 3.15943e-05 -1.94463e-05
0.257 -4.01002e-05 4.01002e-05 3.19002e-05 -1.96299e-05
0.258 -4.0453e-05 4.0453e-05 3.22079e-05 -1.98144e-05
0.259 -4.08076e-05 4.08076e-05 3.25174e-05 -2.00001e-05
0.26 -4.1164e-05 4.1164e-05 3.28287e-05 -2.01868e-05
0.261 -4.15222e-05 4.15222e-05 3.31419e-05 -2.03745e-05
0.262 -4.18822e-05 4.18822e-05 3.34569e-05 -2.05633e-05
0.263 -4.2244e-05 4.2244e-05 3.37737e-05 -2.07531e-05
0.264 -4.26076e-05 4.26076e-05 3.40924e-05 -2.0944e-05
0.265 -4.2973e-05 4.2973e-05 3.44129e-05 -2.1136e-05
0.266 -4.33403e-05 4.33403e-05 3.47352e-05 -2.1329e-05
0.267 -4.37093e-05 4.37093e-05 3.50594e-05 -2.15231e-05
0.268 -4.40802e-05 4.40802e-05 3.53855e-05 -2.17183e-05
0.269 -4.44528e-05 4.44528e-05 3.57134e-05 -2.19145e-05
0.27 -4.48273e-05 4.48273e-05 3.60431e-05 -2.21118e-05
0.271 -4.52037e-05 4.52037e-05 3.63747e-05 -2.23102e-05
0.272 -4.55818e-05 4.55818e-05 3.67082e-05 -2.25096e-05
0.273 -4.59618e-05 4.59618e-05 3.70436e-05 -2.27102e-05
0.274 -4.63436e-05 4.63436e-05 3.73808e-05 -2.29118e-05
0.275 -4.67273e-05 4.67273e-05 3.77199e-05 -2.31145e-05
0.276 -4.71127e-05 4.71127e-05 3.80609e-05 -2.33182e-05
0.277 -4.75001e-05 4.75001e-05 3.84037e-05 -2.35231e-05
0.278 -4.78892e-05 4.78892e-05 3.87485e-05 -2.3729e-05
0.279 -4.82802e-05 4.82802e-05 3.90951e-05 -2.39361e-05
0.28 -4.86731e-05 4.86731e-05 3.94436e-05 -2.41442e-05
0.281 -4.90678e-05 4.90678e-05 3.97941e-05 -2.43534e-05
0.282 -4.94644e-05 4.94644e-05 4.01464e-05 -2.45637e-05
0.283 -4.98628e-05 4.98628e-05 4.05006e-05 -2.47751e-05
0.284 -5.0263e-05 5.0263e-05 4.08568e-05 -2.49876e-05
0.285 -5.06652e-05 5.06652e-05 4.12148e-05 -2.52012e-05
0.286 -5.10692e-05 5.10692e-05 4.15748e-05 -2.54159e-05
0.287 -5.1475e-05 5.1475e-05 4.19367e-05 -2.56317e-05
0.288 -5.18827e-05 5.18827e-05 4.23005e-05 -2.58486e-05
0.289 -5.22923e-05 5.22923e-05 4.26662e-05 -2.60667e-05
0.29 -5.27037e-05 5.27037e-05 4.30339e-05 -2.62858e-05
0.291 -5.31171e-05 5.31171e-05 4.34035e-05 -2.6506e-05
0.292 -5.35323e-05 5.35323e-05 4.37751e-05 -2.67274e-05
0.293 -5.39493e-05 5.39493e-05 4.41485e-05 -2.69499e-05
0.294 -5.43683e-05 5.43683e-05 4.4524e-05 -2.71735e-05
0.295 -5.47891e-05 5.47891e-05 4.49013e-05 -2.73982e-05
0.296 -5.52119e-05 5.52119e-05 4.52806e-05 -2.7624e-05
0.297 -5.56365e-05 5.56365e-05 4.56619e-05 -2.78509e-05
0.298 -5.6063e-05 5.6063e-05 4.60452e-05 -2.8079e-05
0.299 -5.64914e-05 5.64914e-05 4.64303e-05 -2.83082e-05
0.3 -5.69216e-05 5.69216e-05 4.68175e-05 -2.85385e-05
0.301 -5.73538e-05 5.73538e-05 4.72066e-05 -2.877e-05
0.302 -5.77879e-05 5.77879e-05 4.75977e-05 -2.90026e-05
0.303 -5.82238e-05 5.82238e-05 4.79908e-05 -2.92363e-05
0.304 -5.86617e-05 5.86617e-05 4.83858e-05 -2.94712e-05
0.305 -5.91015e-05 5.91015e-05 4.87828e-05 -2.97072e-05
0.306 -5.95432e-05 5.95432e-05 4.91819e-05 -2.99443e-05
0.307 -5.99868e-05 5.99868e-05 4.95829e-05 -3.01826e-05
0.308 -6.04323e-05 6.04323e-05 4.99858e-05 -3.0422e-05
0.309 -6.08797e-05 6.08797e-05 5.03908e-05 -3.06625e-05
0.31 -6.1329e-05 6.1329e-05 5.07978e-05 -3.09042e-05
0.311 -6.17803e-05 6.17803e-05 5.12068e-05 -3.11471e-05
0.312 -6.22334e-05 6.22334e-05 5.16178e-05 -3.13911e-05
0.313 -6.26885e-05 6.26885e-05 5.20307e-05 -3.16362e-05
0.314 -6.31455e-05 6.31455e-05 5.24457e-05 -3.18825e-05
0.315 -6.36045e-05 6.36045e-05 5.28628e-05 -3.213e-05
0.316 -6.40653e-05 6.40653e-05 5.32818e-05 -3.23786e-05
0.317 -6.45281e-05 6.45281e-05 5.37028e-05 -3.26284e-05
0.318 -6.49929e-05 6.49929e-05 5.41259e-05 -3.28793e-05
0.319 -6.54595e-05 6.54595e-05 5.4551e-05 -3.31314e-05
0.32 -6.59281e-05 6.59281e-05 5.49781e-05 -3.33846e-05
0.321 -6.63987e-05 6.63987e-05 5.54073e-05 -3.3639e-05
0.322 -6.68711e-05 6.68711e-05 5.58385e-05 -3.38946e-05
0.323 -6.73455e-05 6.73455e-05 5.62717e-05 -3.41514e-05
0.324 -6.78219e-05 6.78219e-05 5.6707e-05 -3.44093e-05
